PPv2 Leaderboard:
Rank | Name | Total PP | Top Play
422 | 774#0148 | 4448.771093939166 | 169.81892
423 | SingleForever#8387 | 4448.101110603174 | 214.50464
424 | Insane Typer Rocks#6676 | 4447.016889142176 | 243.40668
425 | T_0nio#2543 | 4441.23474057742 | 192.34691
426 | mchdi#6980 | 4440.4945824113265 | 184.51476
427 | Fixitkrash#1349 | 4438.526451376165 | 189.98102
428 | blulb#9023 | 4436.992964381011 | 180.60913
429 | NOAH#3265 | 4433.139763813486 | 172.77902
430 | Patron#2396 | 4428.110783502614 | 178.62675
431 | Adryn#0691 | 4419.763207554936 | 167.21434
432 | Face_Ripper#1665 | 4408.543988753136 | 159.15263
433 | Rayer#6118 | 4402.536502951496 | 191.73238
434 | hiei#1783 | 4399.345580132315 | 173.91022
435 | SirCW#2077 | 4390.23533563466 | 281.45792
436 | Adam#8474 | 4389.2151352333785 | 189.44102
437 | Bwucey#3815 | 4388.994997676788 | 176.8528
438 | Husquin#3731 | 4386.803238534771 | 207.78568
439 | Sarag#7991 | 4385.92568440961 | 185.74359
440 | nakiriayame#8103 | 4384.360232095395 | 176.58061
441 | Dame#5854 | 4381.549116941648 | 209.5895
442 | limited#2334 | 4379.054258154822 | 196.89005
443 | yowuh#0610 | 4378.353972202733 | 193.23389
444 | Sprocken#0606 | 4366.984296038534 | 157.92064
445 | grapesrtasty#1141 | 4364.879160248149 | 192.8167
446 | Aiden YES#4922 | 4360.662005830613 | 174.4084
447 | ftplz#1088 | 4358.570957138299 | 206.76932
448 | Chemyst#1106 | 4357.30062419042 | 160.96292
449 | Piggy#3511 | 4356.096189927357 | 236.70178
450 | Idiot#0789 | 4350.539654398815 | 171.03897
451 | EiVA#6130 | 4344.674452466642 | 235.47917
452 | VarietyBan#3881 | 4341.308902984799 | 199.99585
453 | lued#4164 | 4339.606279405246 | 192.16037
454 | Zeeshan#6296 | 4334.016942834757 | 201.93561
455 | Hueman#3017 | 4332.811922586968 | 205.45174
456 | Friday#3466 | 4332.672279603897 | 169.81999
457 | Jiggle#5863 | 4325.798836354784 | 181.27118
458 | LaptopKeyboard#0249 | 4323.331025431896 | 195.2962
459 | vel#6728 | 4320.722148640729 | 175.52858
460 | Noober#1834 | 4320.380843646335 | 184.99422
461 | brudie#1018 | 4316.963845912217 | 175.6884
462 | Yum#1300 | 4300.8162302900455 | 182.09769
463 | AbraKatAbra#2383 | 4298.268390642016 | 201.42717
464 | helloimnotgood#4163 | 4292.428967639425 | 363.46857
465 | Brandon#4896 | 4291.178319227102 | 183.61494
466 | cidneon#6423 | 4290.873041660928 | 171.61307
467 | Frostmore#1959 | 4290.838603643918 | 220.10802
468 | aleph#0816 | 4284.349718443197 | 239.9894
469 | cody#9609 | 4282.436398429771 | 159.76207
470 | bird#9533 | 4277.545034064744 | 194.7183
471 | Shadii#5148 | 4272.321134429252 | 192.90263
472 | Twiggy#3491 | 4271.318050618678 | 161.77353
473 | sake#8276 | 4267.024713620148 | 198.48305
474 | Hossel#2500 | 4266.484626090806 | 168.92482
475 | SheolicShenobi#5902 | 4252.405315951694 | 192.34473
476 | silent#4725 | 4241.908016999387 | 193.56468
477 | Micah#0656 | 4233.441369937801 | 174.52867
478 | Fictorian#7071 | 4233.150735760192 | 181.25995
479 | jarzan#0038 | 4228.209579242631 | 226.12904
480 | ɪ ᴀᴍ ʙᴏʀᴇᴅ#8086 | 4225.2090879260895 | 237.42003
481 | Jumpye#9406 | 4216.611576945755 | 216.24272
482 | bluely#5106 | 4215.711879517812 | 220.08646
483 | Marm#4939 | 4215.072046233682 | 240.22472
